MEMORY MONTH DAY YEAR NAME FOLDER
4096 ago 23  2018 UGC06256  /data3/CALIFA.COMB
12288 mar 19  2020 UGC06256_abdias  /data3/CALIFA.COMB
4096 ago 23  2018 UGC06312  /data3/CALIFA.COMB
4096 ago 23  2018 UGC06320  /data3/CALIFA.COMB
4096 oct 18  2018 UGC06517  /data3/CALIFA.COMB
4096 oct 12  2018 UGC06616  /data3/CALIFA.COMB
12288 ago  4  2022 UGC07012  /data3/CALIFA.COMB
4096 oct 18  2018 UGC07129  /data3/CALIFA.COMB
4096 ago  1  2022 UGC07145  /data3/CALIFA.COMB
4096 ago 23  2018 UGC08004  /data3/CALIFA.COMB
4096 ago 23  2018 UGC08107  /data3/CALIFA.COMB
